"id","name","label","end_point","query","created_at","updated_at","deleted_at","created_by","updated_by","deleted_by","order_no"
"13","org-vert-dept-info","Vertical Department Info","org-vert-dept-info","select organisation_name, vertical_name, department_name from vr_org_vertical_department where organisation_name = COALESCE(###OrganisationName###,organisation_name) and vertical_name = COALESCE(###VerticalName###,vertical_name) order by organisation_name, vertical_name, department_name","2025-08-04 09:20:15.309411","","","1","","",""
"12","inactive-user-info","Inactive User Info","inactive-user-info","select user_name, manager_name, iirm_employee_id, organisation, vertical, department, branch, designation, roles, user_email, manager_email, login, uid, manager_uid from vr_active_user_info where manager_name = COALESCE(###ManagerName###,manager_name) and organisation = COALESCE(###Organisation###,organisation) and vertical = COALESCE(###Vertical###,vertical) and department = COALESCE(###Department###,department) and branch = COALESCE(###Branch###,branch) and designation = COALESCE(###Designation###,designation) order by user_name","2025-08-04 08:41:30.823027","","","1","","",""
"20","user-hierarchy-raw","User Hierarchy Raw","user-hierarchy-raw","select employee_id, employee_name, manager_id, manager_name, skip_level, relationship, hierarchy, hierarchy_path, visual_hierarchy from vr_user_hierarchy_raw where employee_name = COALESCE(###EmployeeName###,employee_name) and manager_name = COALESCE(###ManagerName###,manager_name) and hierarchy = COALESCE(###Hierarchy###,hierarchy) order by employee_name","2025-08-26 12:21:11.012933","","","1","","",""
"16","user-permission-info","User Permission Info","user-permission-info","select user_name, user_email, permitted_function_name, permitted_action_name from fr_user_permission_info (###UserName###, ###UserEmail###, ###PermittedFunctionName###, ###PermittedActionName###)","2025-11-27 11:00:25.457035","","","1","","",""
"57","external_hr_user_detail","External HR – User Detail","external_hr_user_detail","
SELECT
  hum.id                              AS ""hrManagementId"",
  hum.user_id                         AS ""userId"",
  hum.user_name                       AS ""fullName"",
  hum.email_id                        AS ""email"",
  hum.role_key                        AS ""roleKey"",
  hum.company_id                      AS ""companyId"",
  hum.company_name                    AS ""companyName"",
  hum.phone_number                    AS ""phoneNumber"",
  hum.date_of_birth                   AS ""dateOfBirth"",
  COALESCE(
    JSON_AGG(DISTINCT JSONB_BUILD_OBJECT('policyId', epm.policy_id))
      FILTER (WHERE epm.policy_id IS NOT NULL),
    '[]'
  )                                   AS ""policies"",
  COALESCE(
    JSON_AGG(DISTINCT JSONB_BUILD_OBJECT('addressId', elm.address_id))
      FILTER (WHERE elm.address_id IS NOT NULL),
    '[]'
  )                                   AS ""locations""
FROM hr_user_management hum
LEFT JOIN external_hr_policy_map   epm ON epm.hr_management_id = hum.id
LEFT JOIN external_hr_location_map elm ON elm.hr_management_id = hum.id
WHERE hum.role_key   = 'EXTERNAL_HR'
  AND hum.deleted_at IS NULL
  AND hum.id         = ###userId###
GROUP BY hum.id, hum.user_id, hum.user_name, hum.email_id, hum.role_key,
         hum.company_id, hum.company_name, hum.phone_number, hum.date_of_birth
","2026-05-13 12:11:21.843585","2026-05-13 12:11:21.843585","","SYSTEM","SYSTEM","","103"
"43","endorsement_premium_components","Endorsement Premium Components","endorsement_premium_components","
SELECT 'BASE_PREMIUM'                  AS ""componentKey"",'Base Premium'                  AS ""componentLabel"",NULL::numeric AS ""amount"" WHERE ###companyId### IS NOT NULL
UNION ALL SELECT 'TAX_AMOUNT',                 'Tax Amount',                  NULL::numeric WHERE ###companyId### IS NOT NULL
UNION ALL SELECT 'GROSS_PREMIUM',              'Gross Premium',               NULL::numeric WHERE ###companyId### IS NOT NULL
UNION ALL SELECT 'ADDITION_PREMIUM',           'Addition Premium',            NULL::numeric WHERE ###companyId### IS NOT NULL
UNION ALL SELECT 'DELETION_PREMIUM',           'Deletion Premium',            NULL::numeric WHERE ###companyId### IS NOT NULL
UNION ALL SELECT 'CORRECTION_ADDITION_PREMIUM','Correction Addition Premium', NULL::numeric WHERE ###companyId### IS NOT NULL
UNION ALL SELECT 'CORRECTION_DELETION_PREMIUM','Correction Deletion Premium', NULL::numeric WHERE ###companyId### IS NOT NULL
UNION ALL SELECT 'NET_PREMIUM',                'Net Premium',                 NULL::numeric WHERE ###companyId### IS NOT NULL
UNION ALL SELECT 'NET_TAX_AMOUNT',             'Net Tax Amount',              NULL::numeric WHERE ###companyId### IS NOT NULL
UNION ALL SELECT 'NET_GROSS_PREMIUM',          'Net Gross Premium',           NULL::numeric WHERE ###companyId### IS NOT NULL
    ","2026-05-08 12:09:33.433056","2026-05-08 12:09:33.433056","","SYSTEM","SYSTEM","","23"
"48","portfolio_companies","Portfolio Companies","portfolio_companies","
SELECT
  c.id                                                AS ""companyId"",
  COALESCE(c.display_name, c.company_name)           AS ""companyName"",
  ind.value                                           AS ""industry"",
  city.name                                           AS ""city"",
  state.name                                          AS ""state"",
  COALESCE(c.no_of_employees, 0)::int                AS ""employeeCount"",
  CASE WHEN crm_u.first_name IS NOT NULL
       THEN crm_u.first_name || ' ' || crm_u.last_name END AS ""rmName"",
  gcm.group_company_id                               AS ""groupId"",
  COALESCE(gc.display_name, gc.company_name)         AS ""groupName"",
  grp_ind.value                                       AS ""groupSector"",
  'GROUP_MEMBER'                                      AS ""companyRole"",
  COALESCE(pc.policy_count,   0)::int                AS ""policyCount"",
  COALESCE(pc.active_count,   0)::int                AS ""activePolicyCount"",
  COALESCE(pc.inactive_count, 0)::int                AS ""inactivePolicyCount""
FROM company c
INNER JOIN group_company_map gcm ON gcm.company_id = c.id
INNER JOIN company gc ON gc.id = gcm.group_company_id AND gc.deleted_at IS NULL
LEFT JOIN lookup_data ind     ON ind.id     = c.industry_segment_lid  AND ind.deleted_at     IS NULL
LEFT JOIN lookup_data grp_ind ON grp_ind.id = gc.industry_segment_lid AND grp_ind.deleted_at IS NULL
LEFT JOIN users crm_u ON crm_u.id = c.lead_crm
LEFT JOIN LATERAL (
  SELECT ca.address_id
  FROM company_address ca
  WHERE ca.company_id = c.id
  ORDER BY ca.is_primary DESC NULLS LAST, ca.id ASC
  LIMIT 1
) first_ca ON TRUE
LEFT JOIN address addr ON addr.id = first_ca.address_id AND addr.deleted_at IS NULL
LEFT JOIN city  ON city.id  = addr.city_id
LEFT JOIN state ON state.id = addr.state_id
LEFT JOIN (
  SELECT company_id,
         COUNT(*)                                           AS policy_count,
         COUNT(*) FILTER (WHERE policy_to >= CURRENT_DATE) AS active_count,
         COUNT(*) FILTER (WHERE policy_to <  CURRENT_DATE) AS inactive_count
  FROM policy GROUP BY company_id
) pc ON pc.company_id = c.id
WHERE c.deleted_at IS NULL

UNION ALL

SELECT
  c.id                                                AS ""companyId"",
  COALESCE(c.display_name, c.company_name)           AS ""companyName"",
  ind.value                                           AS ""industry"",
  city.name                                           AS ""city"",
  state.name                                          AS ""state"",
  COALESCE(c.no_of_employees, 0)::int                AS ""employeeCount"",
  CASE WHEN crm_u.first_name IS NOT NULL
       THEN crm_u.first_name || ' ' || crm_u.last_name END AS ""rmName"",
  NULL::int                                           AS ""groupId"",
  NULL::text                                          AS ""groupName"",
  NULL::text                                          AS ""groupSector"",
  'INDIVIDUAL'                                        AS ""companyRole"",
  COALESCE(pc.policy_count,   0)::int                AS ""policyCount"",
  COALESCE(pc.active_count,   0)::int                AS ""activePolicyCount"",
  COALESCE(pc.inactive_count, 0)::int                AS ""inactivePolicyCount""
FROM company c
LEFT JOIN lookup_data ind ON ind.id = c.industry_segment_lid AND ind.deleted_at IS NULL
LEFT JOIN users crm_u ON crm_u.id = c.lead_crm
LEFT JOIN LATERAL (
  SELECT ca.address_id
  FROM company_address ca
  WHERE ca.company_id = c.id
  ORDER BY ca.is_primary DESC NULLS LAST, ca.id ASC
  LIMIT 1
) first_ca ON TRUE
LEFT JOIN address addr ON addr.id = first_ca.address_id AND addr.deleted_at IS NULL
LEFT JOIN city  ON city.id  = addr.city_id
LEFT JOIN state ON state.id = addr.state_id
LEFT JOIN (
  SELECT company_id,
         COUNT(*)                                           AS policy_count,
         COUNT(*) FILTER (WHERE policy_to >= CURRENT_DATE) AS active_count,
         COUNT(*) FILTER (WHERE policy_to <  CURRENT_DATE) AS inactive_count
  FROM policy GROUP BY company_id
) pc ON pc.company_id = c.id
WHERE c.deleted_at IS NULL
  AND c.id NOT IN (SELECT DISTINCT group_company_id FROM group_company_map)
  AND c.id NOT IN (SELECT DISTINCT company_id        FROM group_company_map)

ORDER BY ""groupId"" NULLS LAST, ""companyName""
","2026-05-08 12:12:43.528698","2026-05-08 12:12:43.528698","","SYSTEM","SYSTEM","","21"
"56","external_hr_user_list","External HR – User List","external_hr_user_list","
SELECT
  hum.id                              AS ""hrManagementId"",
  hum.user_id                         AS ""userId"",
  hum.user_name                       AS ""fullName"",
  hum.email_id                        AS ""email"",
  hum.role_key                        AS ""roleKey"",
  hum.company_name                    AS ""companyName"",
  hum.company_id                      AS ""companyId"",
  COUNT(DISTINCT epm.policy_id)       AS ""policyCount"",
  hum.created_at                      AS ""createdAt""
FROM hr_user_management hum
LEFT JOIN external_hr_policy_map epm ON epm.hr_management_id = hum.id
WHERE hum.role_key = 'EXTERNAL_HR'
  AND hum.deleted_at IS NULL
  AND (###companyId### = '' OR hum.company_id::text = ###companyId###)
  AND (###search### = ''
       OR hum.user_name ILIKE '%' || ###search### || '%'
       OR hum.email_id  ILIKE '%' || ###search### || '%')
GROUP BY hum.id, hum.user_name, hum.email_id, hum.role_key,
         hum.company_name, hum.company_id, hum.created_at
ORDER BY hum.created_at DESC
","2026-05-13 12:11:21.843585","2026-05-13 12:11:21.843585","","SYSTEM","SYSTEM","","102"
"58","policy_renewal_status","Policy Renewal Status","policy_renewal_status","
SELECT
  o.ref_policy_id   AS ""policyId"",
  oam.activity_key  AS ""activityKey"",
  oam.activity_name AS ""activityName"",
  ld.lookup_key     AS ""statusKey""
FROM opportunity_activity_map oam
JOIN opportunity o  ON o.id = oam.opportunity_id
JOIN lookup_data ld ON ld.id = oam.status_lid
WHERE o.ref_policy_id = ANY(
  SELECT val::INTEGER
  FROM regexp_split_to_table(
    NULLIF(TRIM(REGEXP_REPLACE(###policyIds###, '[\[\]\s]', '', 'g')), ''),
    ','
  ) AS val
  WHERE val ~ '^\d+$'
)
  AND o.expiry_date > CURRENT_DATE
  AND ld.lookup_key IN (
    'OPPORTUNITY_ACTIVITY_STATUS_WORK_IN_PROGRESS',
    'OPPORTUNITY_ACTIVITY_STATUS_SUBMITTED',
    'OPPORTUNITY_ACTIVITY_STATUS_APPROVED',
    'OPPORTUNITY_ACTIVITY_STATUS_REJECTED'
  )
ORDER BY
  o.ref_policy_id ASC,
  CASE ld.lookup_key
    WHEN 'OPPORTUNITY_ACTIVITY_STATUS_WORK_IN_PROGRESS' THEN 1
    WHEN 'OPPORTUNITY_ACTIVITY_STATUS_SUBMITTED' THEN 2
    WHEN 'OPPORTUNITY_ACTIVITY_STATUS_APPROVED' THEN 3
    WHEN 'OPPORTUNITY_ACTIVITY_STATUS_REJECTED' THEN 4
    ELSE 5
  END ASC
","2026-05-15 16:04:10.776694","2026-05-19 11:39:31.256311","","SYSTEM","SYSTEM","","58"
"17","hr_support_tickets","HR Support Tickets","hr_support_tickets","
SELECT
  rt.id,
  rt.ticket_id                                         AS ""ticketId"",
  rt.employee_id                                       AS ""employeeId"",
  COALESCE(emp.full_name, emp.employee_name)           AS ""employeeName"",
  emp.email_enc                                        AS ""employeeEmail"",
  emp.designation                                      AS ""designation"",
  rt.category,
  rt.status,
  rt.priority,
  rt.mail_id                                           AS ""mailId"",
  LEFT(rt.escalation_description, 120)                 AS ""descriptionPreview"",
  rt.escalation_description                            AS ""description"",
  rt.created_at                                        AS ""createdAt"",
  rt.document_ids                                      AS ""documentIds"",
  CASE
    WHEN rt.created_by IS NOT NULL AND EXISTS (SELECT 1 FROM hr_user_management h WHERE h.user_id = rt.created_by AND h.deleted_at IS NULL AND h.role_key = 'PORTAL_CRM')
      THEN 'CRM'
    WHEN rt.created_by IS NOT NULL AND EXISTS (SELECT 1 FROM hr_user_management h WHERE h.user_id = rt.created_by AND h.deleted_at IS NULL)
      THEN 'HR'
    WHEN rt.mail_id IS NOT NULL AND EXISTS (SELECT 1 FROM hr_user_management h WHERE h.email_id = rt.mail_id AND h.deleted_at IS NULL AND h.role_key = 'PORTAL_CRM')
      THEN 'CRM'
    WHEN rt.mail_id IS NOT NULL AND EXISTS (SELECT 1 FROM hr_user_management h WHERE h.email_id = rt.mail_id AND h.deleted_at IS NULL)
      THEN 'HR'
    WHEN EXISTS (SELECT 1 FROM policy_enrollment_employee pe WHERE pe.user_id = rt.created_by)
      THEN 'EMPLOYEE'
    ELSE 'EMPLOYEE'
  END                                                  AS ""raisedBy""
FROM raise_ticket rt
INNER JOIN policy_enrollment_employee emp
  ON emp.id = rt.employee_id
WHERE emp.company_id = ###companyId###
  AND (NULLIF(###status###, '')   IS NULL OR rt.status   = ###status###)
  AND (NULLIF(###category###, '') IS NULL OR rt.category = ###category###)
  AND (NULLIF(###search###, '')   IS NULL
       OR emp.employee_name         ILIKE '%' || ###search### || '%'
       OR emp.full_name             ILIKE '%' || ###search### || '%'
       OR rt.ticket_id              ILIKE '%' || ###search### || '%'
       OR rt.escalation_description ILIKE '%' || ###search### || '%')
  AND (NULLIF(###raisedBy###, '') IS NULL OR
    CASE
      WHEN rt.created_by IS NOT NULL AND EXISTS (SELECT 1 FROM hr_user_management h WHERE h.user_id = rt.created_by AND h.deleted_at IS NULL AND h.role_key = 'PORTAL_CRM')
        THEN 'CRM'
      WHEN rt.created_by IS NOT NULL AND EXISTS (SELECT 1 FROM hr_user_management h WHERE h.user_id = rt.created_by AND h.deleted_at IS NULL)
        THEN 'HR'
      WHEN rt.mail_id IS NOT NULL AND EXISTS (SELECT 1 FROM hr_user_management h WHERE h.email_id = rt.mail_id AND h.deleted_at IS NULL AND h.role_key = 'PORTAL_CRM')
        THEN 'CRM'
      WHEN rt.mail_id IS NOT NULL AND EXISTS (SELECT 1 FROM hr_user_management h WHERE h.email_id = rt.mail_id AND h.deleted_at IS NULL)
        THEN 'HR'
      ELSE 'EMPLOYEE'
    END = ###raisedBy###
  )
ORDER BY rt.created_at DESC
","2026-05-22 08:16:27.944702","2026-05-22 08:16:27.944702","","SYSTEM","SYSTEM","","104"
"18","upcoming_installments","Upcoming Installments","upcoming_installments","
SELECT
  pi.id AS ""installmentId"",
  COALESCE(pi.installment_no, 'Installment ' || COALESCE(pi.installment_sequence::text, '1')) AS ""installmentLabel"",
  pi.installment_sequence AS ""installmentSeq"",
  pi.installment_date AS ""installmentDate"",
  COALESCE(pi.total_installment_amount, pi.installment_net_amount) AS ""installmentAmount"",
  pi.installment_percentage AS ""installmentPercent""
FROM policy_installments pi
WHERE pi.policy_id = ###policyId###
  AND pi.deleted_at IS NULL
  AND pi.installment_date >= CURRENT_DATE
ORDER BY pi.installment_date ASC
  ","2026-05-28 19:16:50.473142","2026-05-28 19:16:50.473142","","SYSTEM","SYSTEM","","47"
"50","portfolio_group_companies","Portfolio Group Companies","portfolio_group_companies","
SELECT
  c.id                                                AS ""companyId"",
  COALESCE(c.display_name, c.company_name)           AS ""companyName"",
  ind.value                                           AS ""industry"",
  city.name                                           AS ""city"",
  state.name                                          AS ""state"",
  CASE WHEN crm_u.first_name IS NOT NULL
       THEN crm_u.first_name || ' ' || crm_u.last_name END AS ""rmName"",
  gcm.group_company_id                               AS ""groupId"",
  COALESCE(gc.display_name, gc.company_name)         AS ""groupName"",
  grp_ind.value                                       AS ""groupSector"",
  'GROUP_MEMBER'                                      AS ""companyRole"",
  COALESCE(pc.policy_count,    0)::int               AS ""policyCount"",
  COALESCE(pc.active_count,    0)::int               AS ""activePolicyCount"",
  COALESCE(pc.inactive_count,  0)::int               AS ""inactivePolicyCount"",
  COALESCE(pc.lh_policy_count, 0)::int               AS ""lhPolicyCount"",
  NULL::int                                           AS ""employeeCount"",
  pc_grp.parent_policy_count                         AS ""parentPolicyCount"",
  pc_grp.parent_active_count                         AS ""parentActivePolicyCount"",
  pc_grp.parent_inactive_count                       AS ""parentInactivePolicyCount"",
  pc_grp.parent_lh_policy_count                      AS ""parentLhPolicyCount"",
  NULL::int                                           AS ""parentEmployeeCount"",
  grp_city.name                                       AS ""parentCity"",
  grp_state.name                                      AS ""parentState"",
  CASE WHEN parent_crm_u.first_name IS NOT NULL
       THEN parent_crm_u.first_name || ' ' || parent_crm_u.last_name END AS ""parentRmName""
FROM company c
INNER JOIN group_company_map gcm ON gcm.company_id = c.id
INNER JOIN company gc ON gc.id = gcm.group_company_id AND gc.deleted_at IS NULL
LEFT JOIN lookup_data ind     ON ind.id     = c.industry_segment_lid  AND ind.deleted_at     IS NULL
LEFT JOIN lookup_data grp_ind ON grp_ind.id = gc.industry_segment_lid AND grp_ind.deleted_at IS NULL
LEFT JOIN users crm_u ON crm_u.id = c.lead_crm
LEFT JOIN users parent_crm_u ON parent_crm_u.id = gc.lead_crm
LEFT JOIN (
  SELECT DISTINCT ON (ca.company_id) ca.company_id, ca.address_id
  FROM company_address ca ORDER BY ca.company_id, ca.is_primary DESC NULLS LAST, ca.id ASC
) best_addr ON best_addr.company_id = c.id
LEFT JOIN address addr ON addr.id = best_addr.address_id AND addr.deleted_at IS NULL
LEFT JOIN city  ON city.id  = addr.city_id
LEFT JOIN state ON state.id = addr.state_id
LEFT JOIN (
  SELECT DISTINCT ON (ca2.company_id) ca2.company_id, ca2.address_id
  FROM company_address ca2 ORDER BY ca2.company_id, ca2.is_primary DESC NULLS LAST, ca2.id ASC
) best_addr_grp ON best_addr_grp.company_id = gc.id
LEFT JOIN address addr_grp ON addr_grp.id = best_addr_grp.address_id AND addr_grp.deleted_at IS NULL
LEFT JOIN city  grp_city  ON grp_city.id  = addr_grp.city_id
LEFT JOIN state grp_state ON grp_state.id = addr_grp.state_id
LEFT JOIN (
  SELECT p.company_id,
         COUNT(*)                                           AS policy_count,
         COUNT(*) FILTER (WHERE p.policy_to >= CURRENT_DATE) AS active_count,
         COUNT(*) FILTER (WHERE p.policy_to <  CURRENT_DATE) AS inactive_count,
         COUNT(*) FILTER (
           WHERE p.policy_type_lid IN (
             SELECT pts_lh.policy_type_lid
             FROM policy_type_segregation pts_lh
             INNER JOIN lookup_data il ON il.id = pts_lh.iirm_policy_type_lid AND il.deleted_at IS NULL
             WHERE (lower(il.value) LIKE '%life%' OR lower(il.value) LIKE '%health%')
               AND lower(il.value) NOT LIKE '%non-life%'
           )
         ) AS lh_policy_count
  FROM policy p
  INNER JOIN group_company_map gcm_psc ON gcm_psc.company_id = p.company_id
  WHERE gcm_psc.group_company_id::text = ###hrCompanyId###
     OR gcm_psc.group_company_id IN (
       SELECT gcm_f.group_company_id FROM group_company_map gcm_f
       WHERE gcm_f.company_id::text = ###hrCompanyId###
     )
     OR p.company_id::text = ###hrCompanyId###
  GROUP BY p.company_id
) pc ON pc.company_id = c.id
LEFT JOIN (
  SELECT gcm_g.group_company_id,
         COUNT(p2.id)                                               AS parent_policy_count,
         COUNT(p2.id) FILTER (WHERE p2.policy_to >= CURRENT_DATE)  AS parent_active_count,
         COUNT(p2.id) FILTER (WHERE p2.policy_to <  CURRENT_DATE)  AS parent_inactive_count,
         COUNT(p2.id) FILTER (
           WHERE p2.policy_type_lid IN (
             SELECT pts2.policy_type_lid
             FROM policy_type_segregation pts2
             INNER JOIN lookup_data il2 ON il2.id = pts2.iirm_policy_type_lid AND il2.deleted_at IS NULL
             WHERE (lower(il2.value) LIKE '%life%' OR lower(il2.value) LIKE '%health%')
               AND lower(il2.value) NOT LIKE '%non-life%'
           )
         ) AS parent_lh_policy_count
  FROM group_company_map gcm_g
  JOIN company cm ON cm.id = gcm_g.company_id AND cm.deleted_at IS NULL
  JOIN policy p2 ON p2.company_id = cm.id
  WHERE gcm_g.group_company_id::text = ###hrCompanyId###
     OR gcm_g.group_company_id IN (
       SELECT gcm_f.group_company_id FROM group_company_map gcm_f
       WHERE gcm_f.company_id::text = ###hrCompanyId###
     )
  GROUP BY gcm_g.group_company_id
) pc_grp ON pc_grp.group_company_id = gcm.group_company_id
WHERE c.deleted_at IS NULL
  AND (
    COALESCE(pc.lh_policy_count, 0) > 0
    OR (###hrCompanyId### != '' AND COALESCE(pc.policy_count, 0) > 0)
    OR (###crmUserId### != '' AND COALESCE(pc.policy_count, 0) > 0)
  )
  AND (###crmUserId### = '' OR c.lead_crm::text = ###crmUserId### OR gc.lead_crm::text = ###crmUserId###)
  AND (###hrCompanyId### = '' OR gcm.group_company_id::text = ###hrCompanyId### OR c.id::text = ###hrCompanyId###)
  AND (###searchTerm### IS NULL OR COALESCE(c.display_name, c.company_name) ILIKE '%' || ###searchTerm### || '%'
                                OR COALESCE(gc.display_name, gc.company_name) ILIKE '%' || ###searchTerm### || '%')
  AND (
    NULLIF(TRIM(REGEXP_REPLACE(###locationIds###, '[\[\]\s]', '', 'g')), '') IS NULL
    OR EXISTS (
      SELECT 1
      FROM policy_enrollment_employee_policy_map peepm_f
      INNER JOIN policy pf ON pf.id = peepm_f.policy_id AND pf.company_id = c.id
      INNER JOIN policy_enrollment_employee pee_f
        ON pee_f.id = peepm_f.employee_id AND pee_f.deleted_at IS NULL
      WHERE peepm_f.deleted_at IS NULL
        AND pee_f.policy_config_location_id IN (
          SELECT cpcl_loc.id
          FROM company_policy_configuration_location cpcl_loc
          WHERE cpcl_loc.address_id IN (
            SELECT val::INTEGER FROM regexp_split_to_table(
              NULLIF(TRIM(REGEXP_REPLACE(###locationIds###, '[\[\]\s]', '', 'g')), ''), ','
            ) AS val WHERE val ~ '^\d+$'
          )
        )
    )
  )
  AND (
    ###externalHrUserId### IS NULL
    OR c.id IN (
      SELECT DISTINCT company_id
      FROM external_hr_policy_map
      WHERE hr_management_id = ###externalHrUserId###::INTEGER
        AND company_id IS NOT NULL
    )
  )
ORDER BY ""groupId"", ""companyName""
","2026-05-08 12:13:12.829517","2026-06-29 17:24:13.611964","","SYSTEM","SYSTEM","","23"
